TransactionNo,TransactionDate,TransactionType,Location,CustomerCode,CustomerName,ItemCategory,ItemCode,ItemName,SKU,ProductAttributes,BatchNo,StockType,Cost,SaleQty,SaleBonusQty,SaleTotalQty,MRP,SaleAmount,SR_Qty,SR_BonusQty,SR_TotalQty,SR_Rate,SR_Amount,DiscountAmount,OtherCharge,VATAmount,TAXAmount,LocationAddress,CustomerAddress,CustomerBirthDate,CustomerMarriageStatus,CustomerAgeInYear,PerInvoiceAverageAmount
S-18334,25-Oct-23,Sale,Brahmaputra,C-000173,M/S Bhai Bon Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P07-10-23,OUT,250.00 ,50.00,4.00,54.00,940.00,47000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh",Vill:Soratia Post:Bhoilajan Shop Location:Shibganj Hatkalir bazar Upazila:Fulbaria  Zilla:Mymensingh,4-Mar-88,NO,35 Year,44439.81
S-18333,25-Oct-23,Sale,Brahmaputra,C-000175,M/S Siddik Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P07-10-23,OUT,250.00 ,10.00,0.00,10.00,940.00,9400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Vill:Gosthakandapara Post:Dapunia Shop Location:Kheruajani,Chonderbazar Upazila:Muktagachha  Zilla:Mymensingh",2-Jun-86,NO,37 Year,12013.21
S-18301,22-Oct-23,Sale,Brahmaputra,C-000295,M/S Nupur Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Shoilati,Koilati, Fotapur Royalbari, Kandya, Netrokona",5-Jun-81,NO,42 Year,92327.94
S-18300,21-Oct-23,Sale,Brahmaputra,C-000163,M/S Bismillah Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,6.00,0.00,6.00,940.00,5640.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Banail Bazar, Tarail.",26-Aug-90,NO,33 Year,16732.52
S-18260,19-Oct-23,Sale,Brahmaputra,C-000880,M/S Ashraf Agro Complex,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","kalibari,Jhanaigati ,Sherpur",10-May-93,NO,30 Year,11170.89
S-18218,16-Oct-23,Sale,Brahmaputra,C-000210,M/S Showdagor Sheikh forid fish feed,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,100.00,10.00,110.00,940.00,94000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kashegonz, Phulpur, Mymensingh",4-Apr-88,NO,35 Year,136129.58
S-18197,16-Oct-23,Sale,Brahmaputra,C-000045,M/S Tasnim Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Chonkanda Milon bazar, Jorbaria  Post:Fulbaria ,Upazila:Fulbaria,  Zilla:Mymensingh",10-Feb-87,NO,36 Year,27274.83
S-18168,15-Oct-23,Sale,Brahmaputra,C-000279,M/S Mondol Traders,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P 07-10.23,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Kolsindur bazar, Dhobaura, Mymensingh.",1-May-88,YES,35 Year,31217.98
S-18038,8-Oct-23,Sale,Brahmaputra,C-000268,M/S Chacha Vatiza Enterprise,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Tinani, Jhenaigati, Sherpur.",1-Jan-85,NO,38 Year,16708.05
S-17951,4-Oct-23,Sale,Brahmaputra,C-000098,M/S Al Amin Mondol Store,Aqua Product,I-00202,Clean 100ml,ml,100 ml,P060724,OUT,250.00 ,20.00,1.00,21.00,940.00,18800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Siyam Bhaban,Haluyaghat Road,   Shambhuganj,Mymensingh","Amodpur, Majheeali, Tarakanda, Mymensingh",5-Nov-88,YES,35 Year,60293.05
